District,State
Nicobar,Andaman & Nicobar Island
North & Middle Andaman,Andaman & Nicobar Island
South Andaman,Andaman & Nicobar Island
Kadapa,Andhra Pradesh
Nellore,Andhra Pradesh
Anantapur,Andhra Pradesh
Chittoor,Andhra Pradesh
East Godavari,Andhra Pradesh
Guntur,Andhra Pradesh
Krishna,Andhra Pradesh
Kurnool,Andhra Pradesh
Prakasam,Andhra Pradesh
Srikakulam,Andhra Pradesh
Visakhapatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
West Godavari,Andhra Pradesh
Central Siang,Arunachal Pradesh
Kamle,Arunachal Pradesh
Kra Daadi,Arunachal Pradesh
Lepa Rada,Arunachal Pradesh
Longding,Arunachal Pradesh
Lower Siang,Arunachal Pradesh
Namsai,Arunachal Pradesh
Pakke Kessang,Arunachal Pradesh
Shi Yomi,Arunachal Pradesh
Anjaw,Arunachal Pradesh
Changlang,Arunachal Pradesh
Dibang Valley,Arunachal Pradesh
East Kameng,Arunachal Pradesh
East Siang,Arunachal Pradesh
Kurung Kumey,Arunachal Pradesh
Lohit,Arunachal Pradesh
Lower Dibang Valley,Arunachal Pradesh
Lower Subansiri,Arunachal Pradesh
Papum Pare,Arunachal Pradesh
Tawang,Arunachal Pradesh
Tirap,Arunachal Pradesh
Upper Siang,Arunachal Pradesh
Upper Subansiri,Arunachal Pradesh
West Kameng,Arunachal Pradesh
West Siang,Arunachal Pradesh
Biswanath,Assam
Charaideo,Assam
Hojai,Assam
Majuli,Assam
South Salmara-Mankachar,Assam
Baksa,Assam
Barpeta,Assam
Bongaigaon,Assam
Cachar,Assam
Chirang,Assam
Darrang,Assam
Dhemaji,Assam
Dhubri,Assam
Dibrugarh,Assam
Dima Hasao,Assam
Goalpara,Assam
Golaghat,Assam
Hailakandi,Assam
Jorhat,Assam
Kamrup,Assam
Kamrup Metropolitan,Assam
Karbi Anglong,Assam
Karimganj,Assam
Kokrajhar,Assam
Lakhimpur,Assam
Morigaon,Assam
Nagaon,Assam
Nalbari,Assam
Sivasagar,Assam
Sonitpur,Assam
Tinsukia,Assam
Udalguri,Assam
Araria,Bihar
Arwal,Bihar
Aurangabad,Bihar
Banka,Bihar
Begusarai,Bihar
Bhagalpur,Bihar
Bhojpur,Bihar
Buxar,Bihar
Darbhanga,Bihar
East Champaran,Bihar
Gaya,Bihar
Gopalganj,Bihar
Jamui,Bihar
Jehanabad,Bihar
Kaimur,Bihar
Katihar,Bihar
Khagaria,Bihar
Kishanganj,Bihar
Lakhisarai,Bihar
Madhepura,Bihar
Madhubani,Bihar
Munger,Bihar
Muzaffarpur,Bihar
Nalanda,Bihar
Nawada,Bihar
Patna,Bihar
Purnia,Bihar
Rohtas,Bihar
Saharsa,Bihar
Samastipur,Bihar
Saran,Bihar
Sheikhpura,Bihar
Sheohar,Bihar
Sitamarhi,Bihar
Siwan,Bihar
Supaul,Bihar
Vaishali,Bihar
West Champaran,Bihar
Chandigarh,Chandigarh
